"dpt_cdc","prov_cdc","n","pob","y1","ylog","x1","sd","y_low","y_upp","id","y__cascade","y_se__cascade","y_ranef__cascade"
"ANCASH","HUARI",1,64695,1.54571450653064e-05,-11.0740797691746,47,0.998313954047536,-13.0307751191078,-9.11738441924144,"711",-11.0740797691746,0.998313954047536,"711"
"ANCASH","HUARI",5,64695,7.72857253265322e-05,-9.46732849613338,50,0.44704589280386,-10.3435384460289,-8.59111854623782,"712",-9.46732849613338,0.44704589280386,"712"
"ANCASH","HUARI",4,64695,6.18285802612258e-05,-9.69030392085399,51,0.49977435136123,-10.669861649522,-8.71074619218598,"713",-9.69030392085399,0.49977435136123,"713"
"ANCASH","HUARI",3,64695,4.63714351959193e-05,-9.97770584511575,52,0.577013342640665,-11.1086519966915,-8.84675969354005,"714",-9.97770584511575,0.577013342640665,"714"
"ANCASH","HUARI",2,64695,3.09142901306129e-05,-10.382610892183,53,0.706501724343928,-11.7673542718971,-8.99786751246891,"715",-10.382610892183,0.706501724343928,"715"
"ANCASH","HUARI",2,64695,3.09142901306129e-05,-10.382610892183,54,0.706501724343928,-11.7673542718971,-8.99786751246891,"716",-10.382610892183,0.706501724343928,"716"
"ANCASH","HUARI",2,64695,3.09142901306129e-05,-10.382610892183,55,0.706501724343928,-11.7673542718971,-8.99786751246891,"717",-10.382610892183,0.706501724343928,"717"
"ANCASH","HUARI",3,64695,4.63714351959193e-05,-9.97770584511575,56,0.577013342640665,-11.1086519966915,-8.84675969354005,"718",-9.97770584511575,0.577013342640665,"718"
"ANCASH","HUARI",6,64695,9.27428703918386e-05,-9.28511903944086,57,0.408114919519248,-10.0850242816986,-8.48521379718313,"719",-9.28511903944086,0.408114919519248,"719"
"ANCASH","HUARI",3,64695,4.63714351959193e-05,-9.97770584511575,58,0.577013342640665,-11.1086519966915,-8.84675969354005,"720",-9.97770584511575,0.577013342640665,"720"
"ANCASH","HUARI",6,64695,9.27428703918386e-05,-9.28511903944086,59,0.408114919519248,-10.0850242816986,-8.48521379718313,"721",-9.28511903944086,0.408114919519248,"721"
"ANCASH","HUARI",6,64695,9.27428703918386e-05,-9.28511903944086,61,0.408114919519248,-10.0850242816986,-8.48521379718313,"722",-9.28511903944086,0.408114919519248,"722"
"ANCASH","HUARI",10,64695,0.000154571450653064,-8.77451765358406,62,0.316150127940944,-9.39417190434832,-8.15486340281981,"723",-8.77451765358406,0.316150127940944,"723"
"ANCASH","HUARI",5,64695,7.72857253265322e-05,-9.46732849613338,63,0.44704589280386,-10.3435384460289,-8.59111854623782,"724",-9.46732849613338,0.44704589280386,"724"
"ANCASH","HUARI",3,64695,4.63714351959193e-05,-9.97770584511575,64,0.577013342640665,-11.1086519966915,-8.84675969354005,"725",-9.97770584511575,0.577013342640665,"725"
"ANCASH","HUARI",5,64695,7.72857253265322e-05,-9.46732849613338,65,0.44704589280386,-10.3435384460289,-8.59111854623782,"726",-9.46732849613338,0.44704589280386,"726"
"ANCASH","HUARI",7,64695,0.000108200015457145,-9.13104843880905,66,0.377853203841553,-9.8716407183385,-8.39045615927961,"727",-9.13104843880905,0.377853203841553,"727"
"ANCASH","HUARI",2,64695,3.09142901306129e-05,-10.382610892183,67,0.706501724343928,-11.7673542718971,-8.99786751246891,"728",-10.382610892183,0.706501724343928,"728"
"ANCASH","HUARI",3,64695,4.63714351959193e-05,-9.97770584511575,68,0.577013342640665,-11.1086519966915,-8.84675969354005,"729",-9.97770584511575,0.577013342640665,"729"
"ANCASH","HUARI",2,64695,3.09142901306129e-05,-10.382610892183,69,0.706501724343928,-11.7673542718971,-8.99786751246891,"730",-10.382610892183,0.706501724343928,"730"
"ANCASH","HUARI",5,64695,7.72857253265322e-05,-9.46732849613338,70,0.44704589280386,-10.3435384460289,-8.59111854623782,"731",-9.46732849613338,0.44704589280386,"731"
"ANCASH","HUARI",4,64695,6.18285802612258e-05,-9.69030392085399,71,0.49977435136123,-10.669861649522,-8.71074619218598,"732",-9.69030392085399,0.49977435136123,"732"
"ANCASH","HUARI",1,64695,1.54571450653064e-05,-11.0740797691746,72,0.998313954047536,-13.0307751191078,-9.11738441924144,"733",-11.0740797691746,0.998313954047536,"733"
"ANCASH","HUARI",1,64695,1.54571450653064e-05,-11.0740797691746,73,0.998313954047536,-13.0307751191078,-9.11738441924144,"734",-11.0740797691746,0.998313954047536,"734"
"ANCASH","HUARI",1,64695,1.54571450653064e-05,-11.0740797691746,74,0.998313954047536,-13.0307751191078,-9.11738441924144,"735",-11.0740797691746,0.998313954047536,"735"
"ANCASH","HUARI",2,64695,3.09142901306129e-05,-10.382610892183,75,0.706501724343928,-11.7673542718971,-8.99786751246891,"736",-10.382610892183,0.706501724343928,"736"
"ANCASH","HUARI",1,64695,1.54571450653064e-05,-11.0740797691746,82,0.998313954047536,-13.0307751191078,-9.11738441924144,"737",-11.0740797691746,0.998313954047536,"737"
"ANCASH","HUARI",1,64695,1.54571450653064e-05,-11.0740797691746,83,0.998313954047536,-13.0307751191078,-9.11738441924144,"738",-11.0740797691746,0.998313954047536,"738"
"ANCASH","HUARI",1,64695,1.54571450653064e-05,-11.0740797691746,84,0.998313954047536,-13.0307751191078,-9.11738441924144,"739",-11.0740797691746,0.998313954047536,"739"
"ANCASH","HUARMEY",0,32734,0,-16.7717433995265,0,1,-18.7317433995265,-14.8117433995265,"740",-16.7717433995265,1,"740"
"ANCASH","HUARMEY",0,32734,0,-16.7717433995265,1,1,-18.7317433995265,-14.8117433995265,"741",-16.7717433995265,1,"741"
"ANCASH","HUARMEY",0,32734,0,-16.7717433995265,2,1,-18.7317433995265,-14.8117433995265,"742",-16.7717433995265,1,"742"
"ANCASH","HUARMEY",2,32734,6.10985519643184e-05,-9.70217143242808,8,0.70678437459144,-11.0874688066273,-8.31687405822885,"743",-9.70217143242808,0.70678437459144,"743"
"ANCASH","HUARMEY",1,32734,3.05492759821592e-05,-10.3944683774259,10,0.999134476582361,-12.3527719515274,-8.4361648033245,"744",-10.3944683774259,0.999134476582361,"744"
"ANCASH","HUARMEY",2,32734,6.10985519643184e-05,-9.70217143242808,11,0.70678437459144,-11.0874688066273,-8.31687405822885,"745",-9.70217143242808,0.70678437459144,"745"
"ANCASH","HUARMEY",1,32734,3.05492759821592e-05,-10.3944683774259,14,0.999134476582361,-12.3527719515274,-8.4361648033245,"746",-10.3944683774259,0.999134476582361,"746"
"ANCASH","HUARMEY",2,32734,6.10985519643184e-05,-9.70217143242808,18,0.70678437459144,-11.0874688066273,-8.31687405822885,"747",-9.70217143242808,0.70678437459144,"747"
"ANCASH","HUARMEY",4,32734,0.000122197103928637,-9.00944964089062,19,0.499863062093721,-9.98918124259431,-8.02971803918693,"748",-9.00944964089062,0.499863062093721,"748"
"ANCASH","HUARMEY",3,32734,9.16478279464777e-05,-9.29698989689442,20,0.577160037482972,-10.428223570361,-8.16575622342779,"749",-9.29698989689442,0.577160037482972,"749"
"ANCASH","HUARMEY",6,32734,0.000183295655892955,-8.60412636934519,21,0.408152955622454,-9.4041061623652,-7.80414657632518,"750",-8.60412636934519,0.408152955622454,"750"
"ANCASH","HUARMEY",3,32734,9.16478279464777e-05,-9.29698989689442,22,0.577160037482972,-10.428223570361,-8.16575622342779,"751",-9.29698989689442,0.577160037482972,"751"
"ANCASH","HUARMEY",3,32734,9.16478279464777e-05,-9.29698989689442,23,0.577160037482972,-10.428223570361,-8.16575622342779,"752",-9.29698989689442,0.577160037482972,"752"
"ANCASH","HUARMEY",4,32734,0.000122197103928637,-9.00944964089062,24,0.499863062093721,-9.98918124259431,-8.02971803918693,"753",-9.00944964089062,0.499863062093721,"753"
"ANCASH","HUARMEY",5,32734,0.000152746379910796,-8.78639118909992,25,0.447103308205563,-9.66271367318282,-7.91006870501701,"754",-8.78639118909992,0.447103308205563,"754"
"ANCASH","HUARMEY",6,32734,0.000183295655892955,-8.60412636934519,26,0.408152955622454,-9.4041061623652,-7.80414657632518,"755",-8.60412636934519,0.408152955622454,"755"
"ANCASH","HUARMEY",6,32734,0.000183295655892955,-8.60412636934519,27,0.408152955622454,-9.4041061623652,-7.80414657632518,"756",-8.60412636934519,0.408152955622454,"756"
"ANCASH","HUARMEY",7,32734,0.000213844931875115,-8.45001621794549,28,0.377878094396868,-9.19065728296335,-7.70937515292763,"757",-8.45001621794549,0.377878094396868,"757"
"ANCASH","HUARMEY",2,32734,6.10985519643184e-05,-9.70217143242808,29,0.70678437459144,-11.0874688066273,-8.31687405822885,"758",-9.70217143242808,0.70678437459144,"758"
"ANCASH","HUARMEY",1,32734,3.05492759821592e-05,-10.3944683774259,31,0.999134476582361,-12.3527719515274,-8.4361648033245,"759",-10.3944683774259,0.999134476582361,"759"
"ANCASH","HUARMEY",2,32734,6.10985519643184e-05,-9.70217143242808,32,0.70678437459144,-11.0874688066273,-8.31687405822885,"760",-9.70217143242808,0.70678437459144,"760"
"ANCASH","HUARMEY",2,32734,6.10985519643184e-05,-9.70217143242808,33,0.70678437459144,-11.0874688066273,-8.31687405822885,"761",-9.70217143242808,0.70678437459144,"761"
"ANCASH","HUARMEY",3,32734,9.16478279464777e-05,-9.29698989689442,35,0.577160037482972,-10.428223570361,-8.16575622342779,"762",-9.29698989689442,0.577160037482972,"762"
"ANCASH","HUARMEY",2,32734,6.10985519643184e-05,-9.70217143242808,37,0.70678437459144,-11.0874688066273,-8.31687405822885,"763",-9.70217143242808,0.70678437459144,"763"
"ANCASH","HUARMEY",4,32734,0.000122197103928637,-9.00944964089062,45,0.499863062093721,-9.98918124259431,-8.02971803918693,"764",-9.00944964089062,0.499863062093721,"764"
"ANCASH","HUARMEY",3,32734,9.16478279464777e-05,-9.29698989689442,47,0.577160037482972,-10.428223570361,-8.16575622342779,"765",-9.29698989689442,0.577160037482972,"765"
"ANCASH","HUARMEY",1,32734,3.05492759821592e-05,-10.3944683774259,48,0.999134476582361,-12.3527719515274,-8.4361648033245,"766",-10.3944683774259,0.999134476582361,"766"
"ANCASH","HUARMEY",2,32734,6.10985519643184e-05,-9.70217143242808,49,0.70678437459144,-11.0874688066273,-8.31687405822885,"767",-9.70217143242808,0.70678437459144,"767"
"ANCASH","HUARMEY",5,32734,0.000152746379910796,-8.78639118909992,50,0.447103308205563,-9.66271367318282,-7.91006870501701,"768",-8.78639118909992,0.447103308205563,"768"
"ANCASH","HUARMEY",1,32734,3.05492759821592e-05,-10.3944683774259,51,0.999134476582361,-12.3527719515274,-8.4361648033245,"769",-10.3944683774259,0.999134476582361,"769"
"ANCASH","HUARMEY",3,32734,9.16478279464777e-05,-9.29698989689442,52,0.577160037482972,-10.428223570361,-8.16575622342779,"770",-9.29698989689442,0.577160037482972,"770"
"ANCASH","HUARMEY",2,32734,6.10985519643184e-05,-9.70217143242808,53,0.70678437459144,-11.0874688066273,-8.31687405822885,"771",-9.70217143242808,0.70678437459144,"771"
"ANCASH","HUARMEY",4,32734,0.000122197103928637,-9.00944964089062,54,0.499863062093721,-9.98918124259431,-8.02971803918693,"772",-9.00944964089062,0.499863062093721,"772"
"ANCASH","HUARMEY",9,32734,0.000274943483839433,-8.19875583012321,55,0.333255975990471,-8.85193754306453,-7.54557411718188,"773",-8.19875583012321,0.333255975990471,"773"
"ANCASH","HUARMEY",8,32734,0.000244394207857274,-8.3165152227196,56,0.353472562720166,-9.00932144565112,-7.62370899978807,"774",-8.3165152227196,0.353472562720166,"774"
"ANCASH","HUARMEY",3,32734,9.16478279464777e-05,-9.29698989689442,57,0.577160037482972,-10.428223570361,-8.16575622342779,"775",-9.29698989689442,0.577160037482972,"775"
"ANCASH","HUARMEY",12,32734,0.000366591311785911,-7.91112104546845,58,0.288601735664519,-8.47678044737091,-7.34546164356599,"776",-7.91112104546845,0.288601735664519,"776"
"ANCASH","HUARMEY",9,32734,0.000274943483839433,-8.19875583012321,59,0.333255975990471,-8.85193754306453,-7.54557411718188,"777",-8.19875583012321,0.333255975990471,"777"
