dpt_cdc,prov_cdc,n,pob,y1,ylog,x1,sd,y_low,y_upp,id
SAN MARTIN,SAN MARTIN,9,214538,4.195061014831871e-5,-10.077778450116318,25,0.3331198793911846,-10.73069341372304,-9.424863486509595,1
SAN MARTIN,SAN MARTIN,12,214538,5.593414686442495e-5,-9.790406016342514,26,0.288532927928829,-10.355930555083019,-9.22488147760201,1
SAN MARTIN,SAN MARTIN,8,214538,3.728943124294997e-5,-10.195406702379834,27,0.35330046841143875,-10.887875620466254,-9.502937784293415,1
SAN MARTIN,SAN MARTIN,6,214538,2.7967073432212474e-5,-10.48262456834851,28,0.4078634652884858,-11.282036960313944,-9.683212176383078,1
SAN MARTIN,SAN MARTIN,3,214538,1.3983536716106237e-5,-11.173917074856382,29,0.5762754277974441,-12.303416913339372,-10.044417236373391,1
SAN MARTIN,SAN MARTIN,5,214538,2.330589452684373e-5,-10.664574915044705,30,0.4467101626017861,-11.540126833744205,-9.789022996345205,1
SAN MARTIN,SAN MARTIN,6,214538,2.7967073432212474e-5,-10.48262456834851,31,0.4078634652884858,-11.282036960313944,-9.683212176383078,1
SAN MARTIN,SAN MARTIN,8,214538,3.728943124294997e-5,-10.195406702379834,32,0.35330046841143875,-10.887875620466254,-9.502937784293415,1
SAN MARTIN,SAN MARTIN,1,214538,4.661178905368746e-6,-12.265144875267689,33,0.9944643804336634,-14.214295060917669,-10.315994689617709,1
SAN MARTIN,SAN MARTIN,4,214538,1.8644715621474984e-5,-10.88716190945372,34,0.4992993453339725,-11.865788626308307,-9.908535192599134,1
SAN MARTIN,SAN MARTIN,4,214538,1.8644715621474984e-5,-10.88716190945372,35,0.4992993453339725,-11.865788626308307,-9.908535192599134,1
SAN MARTIN,SAN MARTIN,5,214538,2.330589452684373e-5,-10.664574915044705,36,0.4467101626017861,-11.540126833744205,-9.789022996345205,1
SAN MARTIN,SAN MARTIN,7,214538,3.262825233758122e-5,-10.328739122981913,37,0.37765739460844655,-11.06894761641447,-9.588530629549357,1
SAN MARTIN,SAN MARTIN,3,214538,1.3983536716106237e-5,-11.173917074856382,38,0.5762754277974441,-12.303416913339372,-10.044417236373391,1
SAN MARTIN,SAN MARTIN,5,214538,2.330589452684373e-5,-10.664574915044705,39,0.4467101626017861,-11.540126833744205,-9.789022996345205,1
SAN MARTIN,SAN MARTIN,2,214538,9.322357810737492e-6,-11.577530942361365,40,0.7051390264691015,-12.959603434240805,-10.195458450481926,1
SAN MARTIN,SAN MARTIN,4,214538,1.8644715621474984e-5,-10.88716190945372,42,0.4992993453339725,-11.865788626308307,-9.908535192599134,1
SAN MARTIN,SAN MARTIN,2,214538,9.322357810737492e-6,-11.577530942361365,43,0.7051390264691015,-12.959603434240805,-10.195458450481926,1
SAN MARTIN,SAN MARTIN,1,214538,4.661178905368746e-6,-12.265144875267689,44,0.9944643804336634,-14.214295060917669,-10.315994689617709,1
SAN MARTIN,SAN MARTIN,2,214538,9.322357810737492e-6,-11.577530942361365,45,0.7051390264691015,-12.959603434240805,-10.195458450481926,1
SAN MARTIN,SAN MARTIN,3,214538,1.3983536716106237e-5,-11.173917074856382,46,0.5762754277974441,-12.303416913339372,-10.044417236373391,1
SAN MARTIN,SAN MARTIN,1,214538,4.661178905368746e-6,-12.265144875267689,47,0.9944643804336634,-14.214295060917669,-10.315994689617709,1
SAN MARTIN,SAN MARTIN,9,214538,4.195061014831871e-5,-10.077778450116318,48,0.3331198793911846,-10.73069341372304,-9.424863486509595,1
SAN MARTIN,SAN MARTIN,3,214538,1.3983536716106237e-5,-11.173917074856382,49,0.5762754277974441,-12.303416913339372,-10.044417236373391,1
SAN MARTIN,SAN MARTIN,4,214538,1.8644715621474984e-5,-10.88716190945372,50,0.4992993453339725,-11.865788626308307,-9.908535192599134,1
